localidade;data;visibilidade;faixa_bat;prof_interface_min;prof_interface_max;metodo;observador;tempo_geo;geo_cat;iar_geo;n_trans_vis;geo_id;obs
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;5;mp;6;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;6;mp;6;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;7;mp;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;8;mp;4;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;9;mp;0;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;1;gc;0;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;2;gc;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;3;gc;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;4;gc;0;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;5;gc;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;6;gc;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;7;gc;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;8;gc;0;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;9;gc;0;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;1;rpm;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;2;rpm;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;3;rpm;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;4;rpm;10;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;5;rpm;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;6;rpm;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;7;rpm;6;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;8;rpm;10;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;9;rpm;10;9;67;Na
